"","ID","test","order","subjective","objective","word","reading_time","accuracy"
"98","CT","words_reading",3,"OFF","OFF","parage",440,1
"99","CT","words_reading",3,"OFF","OFF","vendre",190,1
"100","CT","words_reading",3,"OFF","OFF","planche",190,1
"101","CT","words_reading",3,"OFF","OFF","pleuve",230,1
"102","CT","words_reading",3,"OFF","OFF","ongle",750,1
"103","CT","words_reading",3,"OFF","OFF","cruelle",460,1
"104","CT","words_reading",3,"OFF","OFF","huée",300,1
"105","CT","words_reading",3,"OFF","OFF","comblais",780,1
"106","CT","words_reading",3,"OFF","OFF","avide",230,1
"107","CT","words_reading",3,"OFF","OFF","détaler",160,1
"108","CT","words_reading",3,"OFF","OFF","cadre",240,1
"109","CT","words_reading",4,"ON","OFF","napper",1050,1
"110","CT","words_reading",4,"ON","OFF","février",150,1
"111","CT","words_reading",4,"ON","OFF","ardent",470,1
"112","CT","words_reading",4,"ON","OFF","crasse",400,1
"113","CT","words_reading",4,"ON","OFF","vendre",570,1
"114","CT","words_reading",4,"ON","OFF","broche",240,1
"115","CT","words_reading",4,"ON","OFF","couve",230,1
"116","CT","words_reading",4,"ON","OFF","décaler",230,1
"117","CT","words_reading",4,"ON","OFF","cadre",930,1
"118","CT","words_reading",4,"ON","OFF","douche",550,1
"119","CT","words_reading",4,"ON","OFF","happer",280,0
"120","CT","words_reading",4,"ON","OFF","crains",490,1
"121","CT","words_reading",4,"ON","OFF","toucher",310,1
"122","CT","words_reading",4,"ON","OFF","coucher",250,1
"123","CT","words_reading",4,"ON","OFF","coureuse",150,1
"124","CT","words_reading",4,"ON","OFF","complais",230,1
"125","CT","words_reading",4,"ON","OFF","cabot",630,1
"126","CT","words_reading",4,"ON","OFF","poisson",230,1
"127","CT","words_reading",4,"ON","OFF","aride",600,1
"128","CT","words_reading",4,"ON","OFF","dure",160,1
"129","CT","words_reading",4,"ON","OFF","huée",590,1
"130","CT","words_reading",4,"ON","OFF","contours",710,1
"131","CT","words_reading",4,"ON","OFF","grise",610,1
"132","CT","words_reading",4,"ON","OFF","rendre",230,1
"133","CT","words_reading",4,"ON","OFF","avide",300,1
"134","CT","words_reading",4,"ON","OFF","donne",330,1
"135","CT","words_reading",4,"ON","OFF","pavage",130,1
"136","CT","words_reading",4,"ON","OFF","oncle",580,1
"137","CT","words_reading",4,"ON","OFF","truelle",370,1
"138","CT","words_reading",4,"ON","OFF","salivait",320,0
"139","CT","words_reading",4,"ON","OFF","conquit",820,1
"140","CT","words_reading",4,"ON","OFF","salirait",620,1
"141","CT","words_reading",4,"ON","OFF","arpent",650,1
"142","CT","words_reading",4,"ON","OFF","couveuse",300,1
"143","CT","words_reading",4,"ON","OFF","traque",820,1
"144","CT","words_reading",4,"ON","OFF","veste",810,1
"145","CT","words_reading",5,"OFF","ON","coure",1090,1
"146","CT","words_reading",5,"OFF","ON","salirait",180,0
"147","CT","words_reading",5,"OFF","ON","couveuse",390,1
"148","CT","words_reading",5,"OFF","ON","comblais",520,1
"149","CT","words_reading",5,"OFF","ON","couve",660,1
"150","CT","words_reading",5,"OFF","ON","nuée",340,1
"151","CT","words_reading",5,"OFF","ON","pleuve",480,1
"152","CT","words_reading",5,"OFF","ON","crasse",780,1
"153","CT","words_reading",5,"OFF","ON","ogre",780,1
"154","CT","words_reading",5,"OFF","ON","décaler",520,1
"155","CT","words_reading",5,"OFF","ON","truelle",300,1
"156","CT","words_reading",5,"OFF","ON","parage",290,1
"157","CT","words_reading",5,"OFF","ON","pavage",460,1
"158","CT","words_reading",5,"OFF","ON","huée",280,1
"159","CT","words_reading",5,"OFF","ON","ongle",450,1
"160","CT","words_reading",5,"OFF","ON","visible",590,1
"161","CT","words_reading",5,"OFF","ON","étaler",330,0
"162","CT","words_reading",5,"OFF","ON","broche",0,0
"163","CT","words_reading",5,"OFF","ON","grasse",160,1
"164","CT","words_reading",5,"OFF","ON","arpent",160,1
"165","CT","words_reading",5,"OFF","ON","oncle",520,1
"166","CT","words_reading",5,"OFF","ON","détaler",280,1
"167","CT","words_reading",5,"OFF","ON","boisson",180,1
"168","CT","words_reading",5,"OFF","ON","bonne",620,1
"169","CT","words_reading",5,"OFF","ON","grise",480,1
"170","CT","words_reading",5,"OFF","ON","contours",410,1
"171","CT","words_reading",5,"OFF","ON","grains",430,1
"172","CT","words_reading",5,"OFF","ON","cruelle",510,1
"173","CT","words_reading",5,"OFF","ON","aride",630,1
"174","CT","words_reading",5,"OFF","ON","coureuse",570,1
"175","CT","words_reading",5,"OFF","ON","foutue",160,1
"176","CT","words_reading",5,"OFF","ON","conduit",460,1
"177","CT","words_reading",5,"OFF","ON","pure",320,0
"178","CT","words_reading",5,"OFF","ON","cabot",810,1
"179","CT","words_reading",5,"OFF","ON","happer",340,0
"180","CT","words_reading",5,"OFF","ON","cadre",770,1
"181","CT","words_reading",6,"ON","ON","lévrier",1140,1
"182","CT","words_reading",6,"ON","ON","cruelle",240,1
"183","CT","words_reading",6,"ON","ON","grasse",440,1
"184","CT","words_reading",6,"ON","ON","happer",730,0
"185","CT","words_reading",6,"ON","ON","ocre",1050,1
"186","CT","words_reading",6,"ON","ON","cabre",330,1
"187","CT","words_reading",6,"ON","ON","oncle",660,1
"188","CT","words_reading",6,"ON","ON","blanche",460,1
"189","CT","words_reading",6,"ON","ON","détaler",220,0
"190","CT","words_reading",6,"ON","ON","crise",410,1
"191","CT","words_reading",6,"ON","ON","pleuve",510,1
"192","CT","words_reading",6,"ON","ON","bouche",110,1
"193","CT","words_reading",6,"ON","ON","nuée",140,1
"194","CT","words_reading",6,"ON","ON","contours",250,1
"195","CT","words_reading",6,"ON","ON","salivait",200,0
"196","CT","words_reading",6,"ON","ON","couve",1020,1
"197","CT","words_reading",6,"ON","ON","capot",440,1
"198","CT","words_reading",6,"ON","ON","bonne",390,1
"199","CT","words_reading",6,"ON","ON","grise",490,1
"200","CT","words_reading",6,"ON","ON","napper",490,1
"201","CT","words_reading",6,"ON","ON","pleure",220,1
"202","CT","words_reading",6,"ON","ON","comblait",350,1
"203","CT","words_reading",6,"ON","ON","ongle",890,1
"204","CT","words_reading",6,"ON","ON","crasse",1500,1
"205","CT","words_reading",6,"ON","ON","crains",690,1
"206","CT","words_reading",6,"ON","ON","février",320,1
"207","CT","words_reading",6,"ON","ON","proche",450,1
"208","CT","words_reading",6,"ON","ON","couveuse",710,1
"209","CT","words_reading",6,"ON","ON","complais",840,1
"210","CT","words_reading",6,"ON","ON","poisson",390,1
"211","CT","words_reading",6,"ON","ON","conduit",460,1
"212","CT","words_reading",6,"ON","ON","traque",590,1
"213","CT","words_reading",6,"ON","ON","veste",350,1
"214","CT","words_reading",6,"ON","ON","coque",420,1
"215","CT","words_reading",6,"ON","ON","conquit",470,1
"216","CT","words_reading",6,"ON","ON","fougue",750,1
"217","CT","words_reading",7,"ON","OFF","cabre",1680,1
"218","CT","words_reading",7,"ON","OFF","coque",390,1
"219","CT","words_reading",7,"ON","OFF","bouche",420,1
"220","CT","words_reading",7,"ON","OFF","nuée",540,1
"221","CT","words_reading",7,"ON","OFF","pure",800,1
"222","CT","words_reading",7,"ON","OFF","capot",430,0
"223","CT","words_reading",7,"ON","OFF","proche",2270,1
"224","CT","words_reading",7,"ON","OFF","grains",190,1
"225","CT","words_reading",7,"ON","OFF","crise",460,0
"226","CT","words_reading",7,"ON","OFF","conduit",460,1
"227","CT","words_reading",7,"ON","OFF","pleuve",520,1
"228","CT","words_reading",7,"ON","OFF","planche",580,1
"229","CT","words_reading",7,"ON","OFF","étaler",420,1
"230","CT","words_reading",7,"ON","OFF","reste",490,1
"231","CT","words_reading",7,"ON","OFF","grasse",470,1
"232","CT","words_reading",7,"ON","OFF","pleure",400,1
"233","CT","words_reading",7,"ON","OFF","ongle",740,1
"234","CT","words_reading",7,"ON","OFF","comblais",830,1
"235","CT","words_reading",7,"ON","OFF","cruelle",670,1
"236","CT","words_reading",7,"ON","OFF","lévrier",400,1
