"","ID","test","order","condition","nb_correct_per_minute"
"99","TQ1yAt","letters","5","lamp_OFF",47.6190476190476
"100","TQ1yAt","letters","6","lamp_ON",78.4615384615385
"101","vG0L3L","letters","2","glasses_ON",115.384615384615
"102","vG0L3L","letters","3","daylight",115.384615384615
"103","vG0L3L","letters","4","glasses_OFF",88.125
"104","vG0L3L","letters","5","lamp_OFF",82.2857142857143
"105","vG0L3L","letters","6","lamp_ON",78.4615384615385
"106","xne4S0","letters","2","lamp_OFF",91.875
"107","xne4S0","letters","3","glasses_OFF",150
"108","xne4S0","letters","4","glasses_ON",130
"109","xne4S0","letters","5","daylight",139.090909090909
"110","xne4S0","letters","6","lamp_ON",136.363636363636
"111","01IJ2z","words","2","daylight",24.5756457564576
"112","01IJ2z","words","3","glasses_ON",39.3333333333333
"113","01IJ2z","words","4","lamp_OFF",32.1428571428571
"114","01IJ2z","words","5","lamp_ON",28.3817427385892
"115","01IJ2z","words","6","glasses_OFF",48.0794701986755
"116","40GuhF","words","2","lamp_OFF",40.5970149253731
"117","40GuhF","words","3","glasses_OFF",49.1925465838509
"118","40GuhF","words","4","lamp_ON",49.6296296296296
"119","40GuhF","words","5","daylight",45.9428571428571
"120","40GuhF","words","6","glasses_ON",45
"121","4emtRn","words","2","lamp_OFF",4.64454976303318
"122","4emtRn","words","3","glasses_OFF",4.76868327402135
"123","4emtRn","words","4","daylight",4.69920544835414
"124","4emtRn","words","5","glasses_ON",8.22495606326889
"125","4emtRn","words","6","lamp_ON",8.23909531502423
"126","7bQeij","words","2","glasses_ON",12.6014319809069
"127","7bQeij","words","3","lamp_ON",16.6355140186916
"128","7bQeij","words","4","glasses_OFF",14.3712574850299
"129","7bQeij","words","5","daylight",15.2694610778443
"130","7bQeij","words","6","lamp_OFF",16.4776119402985
"131","90diGv","words","2","daylight",42.5142857142857
"132","90diGv","words","3","lamp_ON",63.5593220338983
"133","90diGv","words","4","glasses_OFF",54.0845070422535
"134","90diGv","words","5","glasses_ON",59.04
"135","90diGv","words","6","lamp_OFF",58.6567164179105
"136","A0w7I3","words","2","lamp_ON",32.5714285714286
"137","A0w7I3","words","3","daylight",28.0985915492958
"138","A0w7I3","words","4","glasses_OFF",16.441717791411
"139","A0w7I3","words","5","glasses_ON",27.0394736842105
"140","A0w7I3","words","6","lamp_OFF",32.7966101694915
"141","HA3HTw","words","2","lamp_ON",17.2455089820359
"142","HA3HTw","words","3","glasses_ON",21.2837837837838
"143","HA3HTw","words","4","lamp_OFF",21.3207547169811
"144","HA3HTw","words","5","daylight",26.9047619047619
"145","HA3HTw","words","6","glasses_OFF",26.0674157303371
"146","Hmw13Y","words","2","lamp_ON",31.1320754716981
"147","Hmw13Y","words","3","lamp_OFF",32.6424870466321
"148","Hmw13Y","words","4","glasses_ON",40.9248554913295
"149","Hmw13Y","words","5","daylight",50.2127659574468
"150","Hmw13Y","words","6","glasses_OFF",46.7647058823529
"151","JY7XmR","words","2","daylight",57.841726618705
"152","JY7XmR","words","3","glasses_ON",57.8102189781022
"153","JY7XmR","words","4","glasses_OFF",58.974358974359
"154","JY7XmR","words","5","lamp_OFF",64.6551724137931
"155","JY7XmR","words","6","lamp_ON",65.7894736842105
"156","L0B3Bz","words","2","lamp_OFF",45.7317073170732
"157","L0B3Bz","words","3","glasses_ON",62.8571428571429
"158","L0B3Bz","words","4","daylight",64.390243902439
"159","L0B3Bz","words","5","glasses_OFF",52.156862745098
"160","L0B3Bz","words","6","lamp_ON",57.3134328358209
"161","MWjac9","words","2","glasses_OFF",18.8135593220339
"162","MWjac9","words","3","daylight",22.0327868852459
"163","MWjac9","words","4","lamp_OFF",26.25
"164","MWjac9","words","5","glasses_ON",27.8297872340426
"165","MWjac9","words","6","lamp_ON",27.1551724137931
"166","P0c34r","words","2","glasses_ON",35.0943396226415
"167","P0c34r","words","3","daylight",35
"168","P0c34r","words","4","lamp_OFF",45.1094890510949
"169","P0c34r","words","5","glasses_OFF",45.9375
"170","P0c34r","words","6","lamp_ON",45.3333333333333
"171","QxPkv6","words","2","daylight",43.3526011560694
"172","QxPkv6","words","3","glasses_OFF",37.1875
"173","QxPkv6","words","4","lamp_ON",42.4137931034483
"174","QxPkv6","words","5","lamp_OFF",61.0344827586207
"175","QxPkv6","words","6","glasses_ON",40.531914893617
"176","R2AofF","words","2","glasses_OFF",30.1195219123506
"177","R2AofF","words","3","daylight",32.8163265306122
"178","R2AofF","words","4","glasses_ON",39.6
"179","R2AofF","words","5","lamp_OFF",39.1304347826087
"180","R2AofF","words","6","lamp_ON",37.5
"181","TQ1yAt","words","2","daylight",33.972602739726
"182","TQ1yAt","words","3","glasses_OFF",26.1052631578947
"183","TQ1yAt","words","4","glasses_ON",29.8841698841699
"184","TQ1yAt","words","5","lamp_OFF",41.7112299465241
"185","TQ1yAt","words","6","lamp_ON",43.1460674157303
"186","ean60A","words","2","lamp_OFF",19.2700729927007
"187","ean60A","words","3","lamp_ON",22.7405247813411
"188","ean60A","words","4","daylight",21.5303430079156
"189","ean60A","words","5","glasses_OFF",15.146771037182
"190","ean60A","words","6","glasses_ON",23.1044776119403
"191","er1bPJ","words","2","glasses_OFF",25.0950570342205
"192","er1bPJ","words","3","lamp_OFF",28.3950617283951
"193","er1bPJ","words","4","lamp_ON",31.9811320754717
"194","er1bPJ","words","5","daylight",33.1428571428571
"195","er1bPJ","words","6","glasses_ON",34.9038461538462
"196","kI1Np9","words","2","glasses_OFF",34.5882352941176
"197","kI1Np9","words","3","lamp_OFF",35.4385964912281
"198","kI1Np9","words","4","daylight",37.3770491803279
"199","kI1Np9","words","5","glasses_ON",40
"200","kI1Np9","words","6","lamp_ON",45.2173913043478
"201","lg0w03","words","2","lamp_OFF",8.10810810810811
"202","lg0w03","words","3","daylight",7.77408637873754
"203","lg0w03","words","4","glasses_OFF",5.99033816425121
"204","lg0w03","words","6","glasses_ON",11.3343328335832
"205","r7M1T8","words","2","lamp_ON",8.1586402266289
"206","r7M1T8","words","3","glasses_OFF",8.76623376623377
"207","r7M1T8","words","4","glasses_ON",9.32307692307692
"208","r7M1T8","words","5","daylight",9.66824644549763
"209","r7M1T8","words","6","lamp_OFF",10.8917197452229
"210","vG0L3L","words","2","glasses_ON",24.1825095057034
"211","vG0L3L","words","3","daylight",27.9841897233202
"212","vG0L3L","words","4","glasses_OFF",30.7042253521127
"213","vG0L3L","words","5","lamp_OFF",28.2051282051282
"214","vG0L3L","words","6","lamp_ON",41.7721518987342
"215","xne4S0","words","2","lamp_OFF",53.8095238095238
"216","xne4S0","words","3","glasses_OFF",53.1147540983607
"217","xne4S0","words","4","glasses_ON",52.96875
"218","xne4S0","words","5","daylight",59.4444444444444
"219","xne4S0","words","6","lamp_ON",60.5128205128205
"220","01IJ2z","texte","2","daylight",84.8936170212766
"221","01IJ2z","texte","3","glasses_ON",88.8648648648649
"222","01IJ2z","texte","4","lamp_OFF",99.0184049079755
"223","01IJ2z","texte","5","lamp_ON",79.9009900990099
"224","01IJ2z","texte","6","glasses_OFF",124.615384615385
"225","40GuhF","texte","2","lamp_OFF",82.3923444976077
"226","40GuhF","texte","3","glasses_OFF",90.3191489361702
"227","40GuhF","texte","4","lamp_ON",84.4329896907217
"228","40GuhF","texte","5","daylight",104.810126582278
"229","40GuhF","texte","6","glasses_ON",108.076923076923
"230","4emtRn","texte","2","lamp_OFF",13
"231","4emtRn","texte","3","glasses_OFF",12.8
"232","4emtRn","texte","4","daylight",15.4
"233","4emtRn","texte","5","glasses_ON",18.2
"234","4emtRn","texte","6","lamp_ON",13.8
"235","7bQeij","texte","2","glasses_ON",36.5562913907285
"236","7bQeij","texte","3","lamp_ON",29.8
"237","7bQeij","texte","4","glasses_OFF",35.8
"238","7bQeij","texte","5","daylight",34.8
"239","7bQeij","texte","6","lamp_OFF",45.9622641509434
"240","90diGv","texte","2","daylight",82.1212121212121
"241","90diGv","texte","3","lamp_ON",88.8524590163935
"242","90diGv","texte","4","glasses_OFF",86.951871657754
"243","90diGv","texte","5","glasses_ON",105.095541401274
"244","90diGv","texte","6","lamp_OFF",110.335570469799
"245","A0w7I3","texte","2","lamp_ON",99.1764705882353
"246","A0w7I3","texte","3","daylight",107.625
"247","A0w7I3","texte","4","glasses_OFF",86.5979381443299
"248","A0w7I3","texte","5","glasses_ON",101.818181818182
"249","A0w7I3","texte","6","lamp_OFF",119.58041958042
"250","HA3HTw","texte","2","lamp_ON",31.2
"251","HA3HTw","texte","3","glasses_ON",43.8053097345133
"252","HA3HTw","texte","4","lamp_OFF",36.6
"253","HA3HTw","texte","5","daylight",38
"254","HA3HTw","texte","6","glasses_OFF",42.4
"255","Hmw13Y","texte","2","lamp_ON",47.0431893687708
"256","Hmw13Y","texte","3","lamp_OFF",55.748031496063
"257","Hmw13Y","texte","4","glasses_ON",87.239263803681
"258","Hmw13Y","texte","5","daylight",77.0103092783505
"259","Hmw13Y","texte","6","glasses_OFF",78
"260","JY7XmR","texte","2","daylight",92.4590163934426
"261","JY7XmR","texte","3","glasses_ON",87.2727272727273
"262","JY7XmR","texte","4","glasses_OFF",107.142857142857
"263","JY7XmR","texte","5","lamp_OFF",115.217391304348
"264","JY7XmR","texte","6","lamp_ON",125.454545454545
"265","L0B3Bz","texte","2","lamp_OFF",88.7628865979381
"266","L0B3Bz","texte","3","glasses_ON",83.7
"267","L0B3Bz","texte","4","daylight",108.607594936709
"268","L0B3Bz","texte","5","glasses_OFF",97.4566473988439
"269","L0B3Bz","texte","6","lamp_ON",120.41958041958
"270","MWjac9","texte","2","glasses_OFF",29.8
"271","MWjac9","texte","3","daylight",45
"272","MWjac9","texte","4","lamp_OFF",50.0675675675676
"273","MWjac9","texte","5","glasses_ON",77.720207253886
"274","MWjac9","texte","6","lamp_ON",62.2131147540984
"275","P0c34r","texte","2","glasses_ON",52.2321428571429
"276","P0c34r","texte","3","daylight",72.5925925925926
"277","P0c34r","texte","4","lamp_OFF",73.6363636363636
"278","P0c34r","texte","5","glasses_OFF",83.8461538461538
"279","P0c34r","texte","6","lamp_ON",71.6666666666667
"280","QxPkv6","texte","2","daylight",67.710843373494
"281","QxPkv6","texte","3","glasses_OFF",70.2127659574468
"282","QxPkv6","texte","4","lamp_ON",74.5945945945946
"283","QxPkv6","texte","5","lamp_OFF",76.6666666666667
"284","QxPkv6","texte","6","glasses_ON",76.036866359447
"285","R2AofF","texte","2","glasses_OFF",45
"286","R2AofF","texte","3","daylight",51.3183279742765
"287","R2AofF","texte","4","glasses_ON",58.4386617100372
"288","R2AofF","texte","5","lamp_OFF",101.923076923077
"289","R2AofF","texte","6","lamp_ON",70.9322033898305
"290","TQ1yAt","texte","2","daylight",58.9399293286219
"291","TQ1yAt","texte","3","glasses_OFF",55.2
"292","TQ1yAt","texte","4","glasses_ON",89.6808510638298
"293","TQ1yAt","texte","5","lamp_OFF",69.0612244897959
"294","TQ1yAt","texte","6","lamp_ON",70.1234567901235
"295","ean60A","texte","2","lamp_OFF",35.2
"296","ean60A","texte","3","lamp_ON",40.4
"297","ean60A","texte","4","daylight",50.6
"298","ean60A","texte","5","glasses_OFF",48
"299","ean60A","texte","6","glasses_ON",65.4980079681275
"300","er1bPJ","texte","2","glasses_OFF",46.8
"301","er1bPJ","texte","3","lamp_OFF",50.9278350515464
"302","er1bPJ","texte","4","lamp_ON",55.2452830188679
"303","er1bPJ","texte","5","daylight",61.2295081967213
"304","er1bPJ","texte","6","glasses_ON",61.6733067729084
"305","kI1Np9","texte","2","glasses_OFF",54.8571428571429
"306","kI1Np9","texte","3","lamp_OFF",69.5192307692308
"307","kI1Np9","texte","4","daylight",67.0935960591133
"308","kI1Np9","texte","5","glasses_ON",61.9718309859155
"309","kI1Np9","texte","6","lamp_ON",56.8141592920354
"310","lg0w03","texte","2","lamp_OFF",20.2
"311","lg0w03","texte","3","daylight",17.8
"312","lg0w03","texte","4","glasses_OFF",16
"313","lg0w03","texte","5","lamp_ON",21.8
"314","lg0w03","texte","6","glasses_ON",20.6
"315","r7M1T8","texte","2","lamp_ON",13.2
"316","r7M1T8","texte","3","glasses_OFF",15.6
"317","r7M1T8","texte","4","glasses_ON",15.2
"318","r7M1T8","texte","5","daylight",13.6
"319","r7M1T8","texte","6","lamp_OFF",17.4
"320","vG0L3L","texte","2","glasses_ON",55.6595744680851
"321","vG0L3L","texte","3","daylight",53.8167938931298
"322","vG0L3L","texte","4","glasses_OFF",59.1928251121076
"323","vG0L3L","texte","5","lamp_OFF",58.3846153846154
"324","vG0L3L","texte","6","lamp_ON",47.1111111111111
"325","xne4S0","texte","2","lamp_OFF",99.7633136094675
"326","xne4S0","texte","3","glasses_OFF",102.377622377622
"327","xne4S0","texte","4","glasses_ON",121.395348837209
"328","xne4S0","texte","5","daylight",124.761904761905
"329","xne4S0","texte","6","lamp_ON",138.918918918919
