"","ID","cohorte","stimulus","word_freq","pseudoword_type","lexicality","length","display_condition","rt","accuracy","time_of_each_apparition","time_of_each_disparition"
"5326","R2AofF","dyslexic_children","obliger",3,0,"word",7,10,656.037000000011,1,"518704.963,518804.877,518905.095,519005.111,519105.079,519205.112,519304.849","518755.081,518855.09,518955.086,519055.073,519155.068,519255.089,519355.026"
"5327","R2AofF","dyslexic_children","ouol",0,2,"pseudoword",4,15,2089.45699985692,1,"470038.943,470105.638,470172.208,470238.794,470305.624,470372.247,470438.992,470505.631,470572.249,470638.971,470705.619,470772.079,470838.978,470905.573,470972.232,471038.976,471105.569,471172.336,471238.823,471305.556,471372.213,471438.957,471505.607,471572.198,471638.972,471705.561,471772.082,471838.956,471905.561,471972.232,472038.966,472105.619","470072.235,470138.974,470205.635,470272.258,470338.98,470405.568,470472.283,470538.984,470605.63,470672.231,470738.768,470805.56,470872.226,470938.975,471005.608,471072.216,471138.992,471205.621,471272.087,471338.975,471405.616,471472.219,471538.961,471605.55,471672.216,471738.776,471805.627,471872.219,471938.964,472005.612,472072.427"
"5328","R2AofF","dyslexic_children","qroqos",0,5,"pseudoword",6,15,938.817999809253,1,"218724.382,218791.018,218857.776,218924.399,218991.138,219057.785,219124.375,219191.048,219257.708,219324.355,219391.033,219457.789,219524.378,219590.914","218757.782,218824.419,218890.989,218957.766,219024.398,219091.152,219157.581,219224.175,219291.147,219357.759,219424.422,219491.132,219557.783,219624.276"
"5329","R2AofF","dyslexic_children","époux",3,0,"word",5,15,1355.71799999999,1,"356506.282,356572.818,356639.633,356706.191,356772.824,356839.465,356906.157,356972.877,357039.638,357106.205,357172.881,357239.622,357306.142,357372.825,357439.625,357506.16,357572.87,357639.621,357706.218,357772.795,357839.347","356539.637,356606.142,356672.833,356739.635,356806.148,356872.864,356939.637,357006.139,357072.869,357139.632,357206.261,357272.88,357339.368,357406.268,357472.865,357539.63,357606.136,357672.872,357739.615,357806.134"
"5330","R2AofF","dyslexic_children","drame",2,0,"word",5,15,1355.48400000005,1,"776405.516,776472.007,776538.951,776605.537,776672.12,776738.964,776805.551,776872.175,776938.767,777005.476,777072.08,777138.884,777205.547,777272.158,777338.937,777405.546,777472.074,777538.932,777605.521,777672.077,777738.896","776438.711,776505.569,776572.111,776638.864,776705.553,776772.133,776838.933,776905.51,776972.017,777038.888,777105.544,777172.138,777238.924,777305.501,777372.085,777438.745,777505.473,777572.19,777638.926,777705.531"
"5331","R2AofF","dyslexic_children","paud",0,2,"pseudoword",4,10,871.433999856934,0,"385605.966,385705.765,385805.959,385905.842,386006.019,386105.954,386205.733,386305.929,386405.956","385655.921,385755.934,385855.943,385955.933,386055.921,386155.927,386255.89,386355.95,386455.921"
"5332","R2AofF","dyslexic_children","toujuors",0,1,"pseudoword",8,0.01,621.147999952314,1,"502038.652",""
"5333","R2AofF","dyslexic_children","tombeau",2,0,"word",7,0.01,1677.88599995233,1,"260773.914",""
"5334","R2AofF","dyslexic_children","froib",0,5,"pseudoword",5,0.01,395.995999952313,0,"591004.304",""
"5335","R2AofF","dyslexic_children","verdict",1,0,"word",7,15,1872.54099980928,1,"305706.659,305773.28,305840.02,305906.762,305973.337,306040.183,306106.822,306173.316,306240.097,306306.775,306373.434,306440.181,306506.84,306573.295,306640.181,306706.682,306773.429,306840.172,306906.774,306973.406,307040.162,307106.759,307173.3,307240.099,307306.808,307373.415,307440.158,307506.761,307573.42","305740.001,305806.632,305873.423,305939.961,306006.63,306073.409,306140.182,306206.621,306273.373,306340.199,306406.828,306473.419,306540.167,306606.845,306673.34,306740.098,306806.773,306873.437,306940.195,307006.782,307073.428,307140.164,307206.575,307273.397,307340.173,307406.821,307473.435,307540.168"
"5336","R2AofF","dyslexic_children","masse",2,0,"word",5,10,939.065999999992,1,"488205.434,488305.275,488405.305,488505.239,488605.377,488705.399,488805.418,488905.366,489005.358,489105.414","488255.423,488355.228,488455.418,488555.435,488655.427,488755.416,488855.465,488955.236,489055.4"
"5337","R2AofF","dyslexic_children","hôtel",4,0,"word",5,15,1044.50999995234,1,"297190.29,297256.874,297323.553,297390.268,297456.893,297523.407,297590.276,297656.772,297723.538,297790.271,297856.874,297923.538,297990.093,298056.697,298123.419,298190.266","297223.558,297290.324,297356.892,297423.562,297490.281,297556.716,297623.53,297690.28,297756.932,297823.552,297890.272,297956.669,298023.386,298090.029,298156.852,298223.539"
"5338","R2AofF","dyslexic_children","tégager",0,6,"pseudoword",7,0.01,2145.29700000002,0,"291273.703",""
